Case_ID,Investor_Narrative,Evidence_Span,Author_Portfolio,Author_Escalation,Consensus_Risk_Tolerance,Consensus_Risk_Capacity,Consensus_Liquidity_Need,Consensus_Suitability_Risk,Consensus_Portfolio,Consensus_Escalation,Agree_Count,Disagree_Count,Unsure_Count,Review_Flag
ILS-025,"My situation is as follows: I am 31 and I want a portfolio recommendation based on my circumstances. My goal is to grow my savings quickly. My household depends mostly on one unstable income, and I want to keep access to the funds because a major expense is likely soon. I feel behind financially and want the portfolio to recover the gap as quickly as possible. At the same time, I cannot tolerate losing much of this money. I need advice because my desire for high return may not match my ability to absorb losses.","My household depends mostly on one unstable income; I want to keep access to the funds because a major expense is likely soon; I feel behind financially and want the portfolio to recover the gap as quickly as possible; At the same time, I cannot tolerate losing much of this money.",Human review,Yes,Inconsistent,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-026,"My situation is as follows: I am 72 and I want a portfolio recommendation based on my circumstances. I may use some of the funds to reduce debt if rates stay high. My debt is manageable, but I would not want a large loss right before a major expense. I might need a portion of the funds for a home improvement project in a few years. I prefer avoiding losses even if returns are lower. I would accept lower returns if that reduces the chance of a meaningful loss.",I may use some of the funds to reduce debt if rates stay high.; I might need a portion of the funds for a home improvement project in a few years; I prefer avoiding losses even if returns are lower,Capital preservation,No,Low,Moderate,Moderate,Medium,Capital preservation,No,4,0,0,No
ILS-027,"I am 38 and I am describing my investment situation for an automated advisory service. My main goal is long-term wealth growth. I have some family expenses, but also a modest emergency fund. I want some flexibility in case a family expense appears within the next four years. During the last market decline I sold funds at a loss because I panicked. I say I want growth, but my past behavior makes me uncertain.","During the last market decline I sold funds at a loss because I panicked; I say I want growth, but my past behavior makes me uncertain.",Conservative,No,Inconsistent,Moderate,Moderate,Medium,Conservative,No,3,1,0,No
ILS-028,"I am 55 and would like investment advice that reflects my goals and constraints. The main goal is a business deposit. I may need to withdraw most of this account within the next nine months. I have some family expenses, but also a modest emergency fund. I do not sleep well when investments lose value. I still want the money to earn something, but I cannot risk losing funds that may be needed soon.","The main goal is a business deposit.; I may need to withdraw most of this account within the next nine months; I have some family expenses, but also a modest emergency fund",Human review,Yes,Low,Moderate,Urgent,High,Human review,Yes,4,0,0,No
ILS-029,"I am 55 and would like investment advice that reflects my goals and constraints. I have two goals at the same time: a home down payment soon and financial independence later. I expect to use part of the funds for tuition in about two years. I have a mortgage but my income covers regular expenses. I am comfortable with large short-term swings, but I am unsure whether one portfolio can serve both the short-term and long-term goals.",A home down payment soon and financial independence later; I expect to use part of the funds for tuition in about two years; I have a mortgage but my income covers regular expenses,Human review,Yes,Inconsistent,Moderate,High,High,Human review,Yes,4,0,0,No
ILS-030,I am 70 and I am either retired or close to retirement. I want the account to produce reliable income and avoid a large drawdown. I have no high-interest debt and a separate emergency fund. I want to keep access to the funds because a major expense is likely soon. I prefer avoiding losses even if returns are lower. I prefer stability and clear explanation over maximum growth.,Reliable income and avoid a large drawdown; I want to keep access to the funds because a major expense is likely soon; I prefer avoiding losses even if returns are lower,Conservative,No,Low,High,High,Medium,Conservative,No,4,0,0,No
ILS-031,"I am 34 and I am describing my investment situation for an automated advisory service. I am dealing with a medical issue that could create large bills. I still carry high-interest debt and have limited savings, and I have a tax payment due soon and may need to use these funds. I am afraid of making a mistake because the money is important for my family. I should probably not rely only on an automated recommendation unless the case is reviewed carefully.",I am dealing with a medical issue that could create large bills; I have a tax payment due soon and may need to use these funds; I am afraid of making a mistake because the money is important for my family,Human review,Yes,Low,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-032,"As a 55-year-old retail investor, I want the system to understand my situation before recommending a portfolio. I am saving for retirement and do not expect withdrawals for many years. My salary is stable, and I have a strong cash buffer and no major short-term debts. I have no planned withdrawals from this account in the near future. I do not panic when markets move sharply, and I would prefer a recommendation that emphasizes long-term growth while still remaining diversified.","I am saving for retirement and do not expect withdrawals for many years.; My salary is stable, and I have a strong cash buffer and no major short-term debts; I have no planned withdrawals from this account in the near future; I do not panic when markets move sharply",Aggressive growth,No,High,High,Low,Low,Aggressive growth,No,3,0,1,No
ILS-033,"I am 31 and I am describing my investment situation for an automated advisory service. My goal is to grow my savings quickly. I recently changed jobs and do not have much cash set aside, and I want to keep access to the funds because a major expense is likely soon. I feel behind financially and want the portfolio to recover the gap as quickly as possible. I am not sure I could stay invested if markets fell. I need advice because my desire for high return may not match my ability to absorb losses.",I recently changed jobs and do not have much cash set aside; I want to keep access to the funds because a major expense is likely soon; I feel behind financially and want the portfolio to recover the gap as quickly as possible; I am not sure I could stay invested if markets fell.,Human review,Yes,Inconsistent,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-034,"As a 31-year-old retail investor, I want the system to understand my situation before recommending a portfolio. The main goal is covering possible healthcare costs. I want to keep access to the funds because a major expense is likely soon. I can save monthly, although I still have normal household commitments. I am comfortable with moderate risk if the reason is clear. I still want the money to earn something, but I cannot risk losing funds that may be needed soon.","The main goal is covering possible healthcare costs.; I want to keep access to the funds because a major expense is likely soon; I can save monthly, although I still have normal household commitments",Capital preservation,No,Moderate,Moderate,High,Medium,Capital preservation,No,4,0,0,No
ILS-035,"I am 60 and would like investment advice that reflects my goals and constraints. My main goal is retirement. My debt is manageable, but I would not want a large loss right before a major expense. I want some flexibility in case a family expense appears within the next four years. When markets fell, I moved everything to cash and later regretted it. I am tempted by growth funds, but I worry I will sell again in a downturn.","When markets fell, I moved everything to cash and later regretted it; I am tempted by growth funds, but I worry I will sell again in a downturn.",Conservative,No,Low,Moderate,Moderate,Medium,Conservative,No,1,3,0,No
ILS-036,"As a 51-year-old retail investor, I want the system to understand my situation before recommending a portfolio. I want the account to support stable income rather than large capital gains. I have some family expenses, but also a modest emergency fund. I may need access to some cash before the end of five years. I become very uncomfortable when my account falls even a little. I would accept lower returns if that reduces the chance of a meaningful loss.",I want the account to support stable income rather than large capital gains.; I may need access to some cash before the end of five years; I become very uncomfortable when my account falls even a little,Conservative,No,Low,Moderate,Moderate,Low,Conservative,No,4,0,0,No
ILS-037,"I am 55 and would like investment advice that reflects my goals and constraints. I want general wealth growth but do not want a very aggressive strategy. My salary is stable, although I can save monthly, although I still have normal household commitments. I could withdraw a small portion in the medium term. I am comfortable with moderate risk if the reason is clear, so I would prefer a portfolio that balances growth and stability.",I want general wealth growth but do not want a very aggressive strategy.; I could withdraw a small portion in the medium term; I am comfortable with moderate risk if the reason is clear,Growth,No,Moderate,Moderate,Moderate,Low,Growth,No,3,1,0,No
ILS-038,"As a 46-year-old retail investor, I want the system to understand my situation before recommending a portfolio. I am investing for retirement and would like steady long-term growth. I have stable consulting income, although I have a mortgage but my income covers regular expenses. I have no planned withdrawals from this account in the near future. I am comfortable with moderate risk if the reason is clear, so I would prefer a portfolio that balances growth and stability.",I am investing for retirement and would like steady long-term growth.; I have no planned withdrawals from this account in the near future; I am comfortable with moderate risk if the reason is clear,Balanced,No,Moderate,Moderate,Low,Low,Balanced,No,3,0,1,No
ILS-039,"I am 61 and I am either retired or close to retirement. I want the account to produce reliable income and avoid a large drawdown. I have stable income, manageable debt, and cash reserves outside this account. I am considering a home down payment within the next two years. I would rather earn less than see big swings. I prefer stability and clear explanation over maximum growth.",Reliable income and avoid a large drawdown; I am considering a home down payment within the next two years; I would rather earn less than see big swings,Conservative,No,Low,High,High,Medium,Conservative,No,4,0,0,No
ILS-040,"My situation is as follows: I am 38 and I want a portfolio recommendation based on my circumstances. I am trying to grow funds for a future home purchase. I recently changed jobs and do not have much cash set aside, and I need access to cash this year for medical expenses. I feel behind financially and want the portfolio to recover the gap as quickly as possible. A major loss would create serious stress for my household. I need advice because my desire for high return may not match my ability to absorb losses.",I recently changed jobs and do not have much cash set aside; I need access to cash this year for medical expenses; I feel behind financially and want the portfolio to recover the gap as quickly as possible; A major loss would create serious stress for my household.,Human review,Yes,Inconsistent,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-041,"As a 38-year-old retail investor, I want the system to understand my situation before recommending a portfolio. I am investing for retirement and would like steady long-term growth. My salary is stable, although I have some family expenses, but also a modest emergency fund. This money is for long-term goals and I can leave it invested through market cycles. I want growth but with a controlled level of volatility, so I would prefer a portfolio that balances growth and stability.",I am investing for retirement and would like steady long-term growth.; This money is for long-term goals and I can leave it invested through market cycles; I want growth but with a controlled level of volatility,Balanced,No,Moderate,Moderate,Low,Low,Balanced,No,3,0,1,No
ILS-042,"I am 38 and I am describing my investment situation for an automated advisory service. The main goal is covering possible healthcare costs. I expect to use part of the funds for tuition in about two years. I can save monthly, although I still have normal household commitments. I get anxious during market declines. I still want the money to earn something, but I cannot risk losing funds that may be needed soon.","The main goal is covering possible healthcare costs.; I expect to use part of the funds for tuition in about two years; I can save monthly, although I still have normal household commitments",Capital preservation,No,Low,Moderate,High,Medium,Capital preservation,No,4,0,0,No
ILS-043,"I am 55 and would like investment advice that reflects my goals and constraints. I am building an education fund and want the money to grow without excessive risk. My household income is steady, although I can save monthly, although I still have normal household commitments. I have no planned withdrawals from this account in the near future. I am comfortable with moderate risk if the reason is clear, so I would prefer a portfolio that balances growth and stability.",I am building an education fund and want the money to grow without excessive risk.; I have no planned withdrawals from this account in the near future; I am comfortable with moderate risk if the reason is clear,Balanced,No,Moderate,Moderate,Low,Low,Balanced,No,3,0,1,No
ILS-044,I am 60 and would like investment advice that reflects my goals and constraints. I may use some of the funds to reduce debt if rates stay high. My income is irregular and my emergency fund is small. I might need a portion of the funds for a home improvement project in a few years. I prefer avoiding losses even if returns are lower. I would accept lower returns if that reduces the chance of a meaningful loss.,I may use some of the funds to reduce debt if rates stay high.; I might need a portion of the funds for a home improvement project in a few years; I prefer avoiding losses even if returns are lower,Capital preservation,No,Low,Low,Moderate,Medium,Capital preservation,No,4,0,0,No
ILS-045,"I am 31 and would like investment advice that reflects my goals and constraints. I have two goals at the same time: tuition soon and long-term wealth growth later. I may need the money within six months. My emergency savings are already funded and this money is not needed for bills. I am comfortable with moderate risk if the reason is clear, but I am unsure whether one portfolio can serve both the short-term and long-term goals.",Tuition soon and long-term wealth growth later; I may need the money within six months; My emergency savings are already funded and this money is not needed for bills,Human review,Yes,Inconsistent,High,Urgent,High,Human review,Yes,2,2,0,No
ILS-046,"My situation is as follows: I am 60 and I want a portfolio recommendation based on my circumstances. I want general wealth growth but do not want a very aggressive strategy. My salary is stable, although my debt is manageable, but I would not want a large loss right before a major expense. I may need access to some cash before the end of five years. I want growth but with a controlled level of volatility, so I would prefer a portfolio that balances growth and stability.",I want general wealth growth but do not want a very aggressive strategy.; I may need access to some cash before the end of five years; I want growth but with a controlled level of volatility,Balanced,No,Moderate,Moderate,Moderate,Low,Balanced,No,4,0,0,No
ILS-047,"As a 46-year-old retail investor, I want the system to understand my situation before recommending a portfolio. I want the account to support stable income rather than large capital gains. I have several fixed expenses and only a small emergency reserve. I may need a large part of the money within eighteen months. I would rather earn less than see big swings. I would accept lower returns if that reduces the chance of a meaningful loss.",I want the account to support stable income rather than large capital gains.; I may need a large part of the money within eighteen months; I would rather earn less than see big swings,Capital preservation,No,Low,Low,High,Medium,Capital preservation,No,4,0,0,No
ILS-048,"I am 60 and would like investment advice that reflects my goals and constraints. I have two goals at the same time: tuition soon and long-term wealth growth later. I may need the money within six months. I have stable income, manageable debt, and cash reserves outside this account. I prefer a balanced approach rather than the highest possible return, but I am unsure whether one portfolio can serve both the short-term and long-term goals.","Tuition soon and long-term wealth growth later; I may need the money within six months; I have stable income, manageable debt, and cash reserves outside this account",Human review,Yes,Inconsistent,High,Urgent,High,Human review,Yes,2,2,0,No
ILS-049,"I am 38 and I am describing my investment situation for an automated advisory service. I am dealing with a medical issue that could create large bills. I recently changed jobs and do not have much cash set aside, and I may need the money within six months. I become very uncomfortable when my account falls even a little. I should probably not rely only on an automated recommendation unless the case is reviewed carefully.",I am dealing with a medical issue that could create large bills; I may need the money within six months; I become very uncomfortable when my account falls even a little,Human review,Yes,Low,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-050,"I am 28 and I am describing my investment situation for an automated advisory service. I have not decided whether this is for retirement, a house, or general savings. I have not checked whether my emergency fund is enough. I might want growth, but I also do not want unpleasant surprises. I would like the robo-adviser to recommend something, but I realize important information may still be missing.","I have not decided whether this is for retirement, a house, or general savings; I have not checked whether my emergency fund is enough; I might want growth, but I also do not want unpleasant surprises",Human review,Yes,Inconsistent,Low,High,High,Human review,Yes,4,0,0,No
ILS-051,"As a 55-year-old retail investor, I want the system to understand my situation before recommending a portfolio. My goal is to grow my savings quickly. I recently changed jobs and do not have much cash set aside, and I am considering a home down payment within the next two years. I feel behind financially and want the portfolio to recover the gap as quickly as possible. A major loss would create serious stress for my household. I need advice because my desire for high return may not match my ability to absorb losses.",I recently changed jobs and do not have much cash set aside; I am considering a home down payment within the next two years; I feel behind financially and want the portfolio to recover the gap as quickly as possible; A major loss would create serious stress for my household.,Human review,Yes,Inconsistent,Low,High,High,Human review,Yes,4,0,0,No
ILS-052,"As a 31-year-old retail investor, I want the system to understand my situation before recommending a portfolio. I have two goals at the same time: a home down payment soon and retirement later. I have a tax payment due soon and may need to use these funds. I have a stable job, but my cash buffer is only moderate. I can tolerate normal market fluctuations, but I am unsure whether one portfolio can serve both the short-term and long-term goals.","A home down payment soon and retirement later; I have a tax payment due soon and may need to use these funds; I have a stable job, but my cash buffer is only moderate",Human review,Yes,Inconsistent,Moderate,Urgent,High,Human review,Yes,4,0,0,No
ILS-053,"I am 28 and I am describing my investment situation for an automated advisory service. I am saving for retirement and do not expect withdrawals for many years. My household income is steady, and my emergency savings are already funded and this money is not needed for bills. I will not need this account for everyday expenses. I am comfortable with large short-term swings, and I would prefer a recommendation that emphasizes long-term growth while still remaining diversified.","I am saving for retirement and do not expect withdrawals for many years.; My household income is steady, and my emergency savings are already funded and this money is not needed for bills; I will not need this account for everyday expenses; I am comfortable with large short-term swings",Aggressive growth,No,High,High,Low,Low,Aggressive growth,No,3,0,1,No
ILS-054,"As a 51-year-old retail investor, I want the system to understand my situation before recommending a portfolio. I hope to grow capital that could later support a business idea. I have a mortgage but my income covers regular expenses. I am considering a home down payment within the next two years. Recent headlines make me feel I should invest aggressively immediately. I am asking for a recommendation, but I may be putting too much weight on recent market excitement.",I have a mortgage but my income covers regular expenses; I am considering a home down payment within the next two years; Recent headlines make me feel I should invest aggressively immediately,Human review,Yes,High,Moderate,High,High,Human review,Yes,4,0,0,No
ILS-055,"I am 60 and I am describing my investment situation for an automated advisory service. My goal is to grow my savings quickly. I have several fixed expenses and only a small emergency reserve, and I want to keep access to the funds because a major expense is likely soon. I want the most aggressive portfolio available because I need high returns quickly. I am not sure I could stay invested if markets fell. I need advice because my desire for high return may not match my ability to absorb losses.",I have several fixed expenses and only a small emergency reserve; I want to keep access to the funds because a major expense is likely soon; I want the most aggressive portfolio available because I need high returns quickly; I am not sure I could stay invested if markets fell.,Human review,Yes,Inconsistent,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-056,"I am 68 and would like investment advice that reflects my goals and constraints. I do not know how much of this account I might need. I have not checked whether my emergency fund is enough. I might want growth, but I also do not want unpleasant surprises. I would like the robo-adviser to recommend something, but I realize important information may still be missing.","I do not know how much of this account I might need; I have not checked whether my emergency fund is enough; I might want growth, but I also do not want unpleasant surprises",Human review,Yes,Inconsistent,Low,High,High,Human review,Yes,4,0,0,No
ILS-057,"I am 60 and would like investment advice that reflects my goals and constraints. I want to build wealth faster than I have so far. I still carry high-interest debt and have limited savings. I could withdraw a small portion in the medium term. Recent headlines make me feel I should invest aggressively immediately. I am asking for a recommendation, but I may be putting too much weight on recent market excitement.",I still carry high-interest debt and have limited savings; I could withdraw a small portion in the medium term; Recent headlines make me feel I should invest aggressively immediately,Human review,Yes,High,Low,Moderate,High,Human review,Yes,4,0,0,No
ILS-058,"I am 34 and I am describing my investment situation for an automated advisory service. I recently lost my job and my savings are limited. I still carry high-interest debt and have limited savings, and this money may be needed for rent and family expenses very soon. I prefer avoiding losses even if returns are lower. I should probably not rely only on an automated recommendation unless the case is reviewed carefully.",I recently lost my job and my savings are limited; This money may be needed for rent and family expenses very soon; I prefer avoiding losses even if returns are lower,Human review,Yes,Low,Low,Urgent,High,Human review,Yes,4,0,0,No
